0.9998767575,-381.329,1
0.998891,18.5688,2
0.9969204569,218.06,3
0.9939670708,273.498,4
0.9900337535,313.598,5
0.9851243827,331.445,6
0.9792437984,344.573,7
0.9723977983,349.781,8
0.9645931316,352.504,9
0.9558374928,351.141,10
0.9461395139,348.072,11
0.9355087559,342.404,12
0.9239556995,335.412,13
0.9114917345,326.555,14
0.8981291491,316.616,15
0.8838811169,305.253,16
0.868761685,292.995,17
0.8527857591,279.621,18
0.8359690897,265.522,19
0.8183282559,250.55,20
0.7998806495,235.013,21
0.7806444575,218.815,22
0.7606386446,202.209,23
0.739882934,185.138,24
0.7183977884,167.815,25
0.6962043894,150.209,26
0.6733246172,132.51,27
0.6497810284,114.702,28
0.6255968342,96.956,29
0.6007958771,79.2703,30
0.5754026081,61.7992,31
0.5494420616,44.5495,32
0.5229398318,27.6625,33
0.4959220466,11.15,34
0.4684153423,-4.85807,35
0.4404468371,-20.348,36
0.4120441047,-35.2004,37
0.3832351466,-49.4017,38
0.354048365,-62.8428,39
0.3245125346,-75.5122,40
0.2946567741,-87.3107,41
0.2645105177,-98.2309,42
0.2341034859,-108.183,43
0.2034656564,-117.166,44
0.1726272344,-125.099,45
0.1416186228,-131.987,46
0.1104703924,-137.761,47
0.0792132516,-142.431,48
0.0478780161,-145.939,49
0.0164955786,-148.305,50
-0.0149031215,-149.477,51
-0.0462871289,-149.487,52
-0.0776255028,-148.291,53
-0.1088873474,-145.93,54
-0.1400418422,-142.372,55
-0.1710582727,-137.664,56
-0.2019060604,-131.783,57
-0.2325547932,-124.788,58
-0.2629742552,-116.662,59
-0.2931344563,-107.475,60
-0.3230056623,-97.2165,61
-0.3525584238,-85.9662,62
-0.3817636054,-73.7192,63
-0.4105924143,-60.5655,64
-0.4390164287,-46.5039,65
-0.467007626,-31.635,66
-0.4945384104,-15.9591,67
-0.5215816397,0.41233,68
-0.5481106526,17.4796,69
-0.5740992948,35.1203,70
-0.5995219445,53.3382,71
-0.6243535381,71.9992,72
-0.6485695947,91.1143,73
-0.6721462401,110.536,74
-0.6950602307,130.288,75
-0.717288976,150.208,76
-0.7388105612,170.337,77
-0.7596037686,190.495,78
-0.7796480986,210.75,79
-0.7989237898,230.899,80
-0.8174118389,251.051,81
-0.8350940189,270.97,82
-0.8519528972,290.824,83
-0.867971853,310.335,84
-0.8831350936,329.761,85
-0.8974276699,348.756,86
-0.9108354911,367.731,87
-0.9233453387,386.229,88
-0.9349448795,404.925,89
-0.9456226779,423.177,90
-0.9553682067,442.166,91
-0.964171858,460.909,92
-0.9720249526,481.71,93
-0.9789197481,502.896,94
-0.9848494473,529.838,95
-0.9898082041,559.281,96
-0.9937911298,608.714,97
-0.9967942976,671.184,98
-0.998814747,875.378,99
-0.9998504858,1277.63,100
